ensembl	f65571bf-793a-43d5-93aa-c85bac4dca56.htseq.counts	0b3957f2-b010-44ef-8376-455427a5e158.htseq.counts	01ddf9de-8532-4a68-af48-fec5bed7e78d.htseq.counts	254023bc-c2bd-4d26-8f62-b18e2906037d.htseq.counts	4a7fa98b-c6cb-48a9-909e-41a7efde10b2.htseq.counts	14aa3bdb-5c34-4fb4-91b8-876faf41674d.htseq.counts	cb26f33d-b1b7-411a-9f21-7e3ea98694d9.htseq.counts	9a2b0bc5-8882-4aba-ac8a-51b1484b66ea.htseq.counts	fd700b77-843b-49a6-800d-545b5f2bab90.htseq.counts	f10cc48c-4566-41fd-8dbf-66393ee09d70.htseq.counts
ENSG00000004779	2326	2412	1490	3766	2062	1741	1988	1458	2773	1611
ENSG00000004799	461	1179	1736	1418	1528	608	783	4969	269	3850
ENSG00000004809	4	6	23	3	85	2	19	54	49	15
ENSG00000004838	458	54	167	179	154	274	70	137	54	36
ENSG00000004846	12395	2072	3	19	46	1	11	88	15	24
ENSG00000004848	0	14	5	9	191	2	0	66	0	3
ENSG00000004864	649	2069	1663	1681	2977	700	1411	1723	1021	1106
ENSG00000004866	2951	1095	1718	1443	2043	1053	944	1453	1030	660
ENSG00000004897	3993	6739	5009	2817	8482	2766	3658	3241	3453	4333
ENSG00000004939	3	5	6	4	17	1	7	2	1	31
ENSG00000004948	7	91	238	30	259	64	57	46	5	18
ENSG00000004961	998	1670	488	1303	650	861	1100	650	1810	1519
ENSG00000004975	3313	2520	2397	1830	3704	1870	2629	1817	1895	2454
ENSG00000005001	3	3	2	3	24	0	5	1	177	5
ENSG00000005007	11700	11018	15116	4277	14233	5248	6826	10271	6896	6001
ENSG00000005020	10209	5142	2826	1304	5047	3442	4943	3669	2031	1206
ENSG00000005022	15853	14458	4879	8689	6098	5973	14827	8476	8665	10840
ENSG00000005059	2003	1197	457	706	412	1800	1209	406	2918	227
ENSG00000005073	513	20	221	47	896	30	69	386	16	3572
ENSG00000005075	1289	2166	1321	7579	3602	2025	1459	1544	1362	1153
ENSG00000005100	1457	1696	1271	866	2244	1013	1805	1072	1375	1609
ENSG00000005102	135	176	676	91	40410	27	467	9932	38	3612
ENSG00000005108	1096	1106	4971	91	3541	1114	1547	731	152	2794
ENSG00000005156	1769	1479	877	1017	1667	989	1564	1514	1033	1934
ENSG00000005175	1513	2091	1298	925	3061	967	1251	1600	3100	1658
ENSG00000005187	97	106	212	56	39	152	143	56	320	79
ENSG00000005189	192	110	470	302	857	232	165	185	392	97
ENSG00000005194	1988	2649	1917	2242	2631	1312	3140	2108	2014	2686
ENSG00000005206	1601	3733	5336	3265	3193	6626	2888	3208	1972	2807
ENSG00000005238	1764	3696	494	1329	513	1815	3212	809	2213	1433
ENSG00000005243	704	2635	3801	4419	4100	1741	1264	3684	628	810
ENSG00000005249	110	1167	3387	1460	10881	547	859	1215	465	142
ENSG00000005302	1846	2113	1307	1124	1727	1567	2017	1799	2038	2621
ENSG00000005339	10016	5739	13912	2151	17441	3942	6354	7079	7829	4331
ENSG00000005379	432	263	21	210	3159	1837	116	2427	692	314
ENSG00000005381	1	7	1	8	45	14	14	74	65	448
ENSG00000005421	0	5	4	1	31	0	4	3	8	52
ENSG00000005436	747	1871	1749	811	1548	921	764	1452	997	669
ENSG00000005448	1068	1109	312	3094	916	977	1156	1370	3513	591
ENSG00000005469	1286	1197	2641	590	2585	920	649	1232	558	428
ENSG00000005471	39	1449	1592	756	1295	187	1004	559	369	22
ENSG00000005483	3049	5696	9339	1909	14382	3035	5726	5006	2786	2000
ENSG00000005486	2301	7344	5740	24718	5215	8121	5089	3821	2950	3167
ENSG00000005513	2	745	2774	1623	2120	4185	6091	2091	24	2505
ENSG00000005700	2247	3265	2806	1534	5397	2132	3540	4324	3147	1737
ENSG00000005801	591	594	563	713	738	828	693	738	485	845
ENSG00000005810	3100	4282	2562	1857	5218	2750	4574	4379	1749	2521
ENSG00000005812	2024	4011	1967	1691	3817	3048	4011	3196	1331	2067
ENSG00000005844	265	2195	191	699	134	2803	3220	633	2653	397
ENSG00000005882	1095	2031	3099	1401	2348	2010	1283	2247	1277	2212
ENSG00000005884	724	53931	1217	55555	1036	14595	39936	1494	13543	798
ENSG00000005889	1470	2265	2595	997	4590	1626	1548	2714	1172	2830
ENSG00000005893	27748	28814	8391	18839	24394	13106	17329	19272	10620	4821
ENSG00000005961	33	17	1188	110	451	119	10	469	205	386
ENSG00000005981	0	5	6	4	128	3	3	30	3	37
ENSG00000006007	2998	6053	2194	2573	3772	3540	5530	1863	5349	1133
ENSG00000006015	2956	2069	2430	4020	2890	2026	2011	1675	1837	877
ENSG00000006016	62	1236	6725	1364	10723	72	17991	6086	384	300
ENSG00000006025	413	834	1766	732	555	1203	825	546	901	471
ENSG00000006042	942	449	6144	731	10448	124	1583	11241	3247	7552
ENSG00000006047	2	4	273	42	290	2	18	91	5	240
ENSG00000006059	0	1	7	1	3	0	0	0	0	0
ENSG00000006062	1677	2855	1507	3697	1438	1909	2046	1992	2059	481
ENSG00000006071	0	103	419	239	98	53	2	72	1	53
ENSG00000006116	0	0	0	0	1	0	0	0	0	1
ENSG00000006118	3766	5778	3558	19474	22853	3746	10091	8402	4891	5672
ENSG00000006125	12733	24107	8690	10199	10268	11328	17617	15394	11288	15474
ENSG00000006128	0	47	0	9	108	0	1	621	0	80
ENSG00000006194	2342	1864	2349	1739	2475	1095	1745	1594	2241	1520
ENSG00000006210	595	960	7888	4357	1605	379	964	1905	880	1091
ENSG00000006282	543	3347	11900	8026	7750	5467	1756	6723	3676	3165
ENSG00000006283	170	14	28582	55	7072	6	13	1798	36	893
ENSG00000006327	5973	14536	419	11746	785	3960	9411	1017	21836	327
ENSG00000006377	6	191	1231	284	2032	16	17	570	2	245
ENSG00000006432	739	103	565	124	610	210	253	448	389	353
ENSG00000006451	23774	3370	2711	1896	8122	2336	3998	3386	7058	5144
ENSG00000006453	429	108	815	522	1127	70	69	446	1124	255
ENSG00000006459	3548	1233	1470	745	2122	545	1764	2415	804	512
ENSG00000006468	7980	2249	6429	1814	35769	440	3303	16837	1555	4030
ENSG00000006530	1236	1588	2302	1209	3959	2349	1610	1419	720	994
ENSG00000006534	871	3124	1312	3933	302	14329	3410	1163	1134	137
ENSG00000006555	5	12	3	5	3	5	16	31	90	24
ENSG00000006576	2711	1196	3727	1947	4820	625	1848	2600	2460	1526
ENSG00000006606	93	13	0	184	4	8	55	6	75	5
ENSG00000006607	339	3459	1721	2293	2804	1431	4311	1852	491	769
ENSG00000006611	0	8	19	3	429	12	0	1137	0	104
ENSG00000006625	2506	1516	831	1863	2457	1596	1537	2158	2137	1114
ENSG00000006634	870	336	568	302	2657	209	472	718	708	721
ENSG00000006638	148	254	467	114	847	510	222	675	207	859
ENSG00000006652	10939	3545	2022	3877	1162	2339	3041	1273	2532	1246
ENSG00000006659	0	0	0	0	0	0	0	0	0	1
ENSG00000006695	1142	683	531	387	638	364	593	396	1032	663
ENSG00000006704	1872	1613	4047	1659	3307	1110	1567	2596	1682	1731
ENSG00000006712	4952	5510	3265	8696	4711	3954	4337	5627	4381	10593
ENSG00000006715	5312	4764	4764	1276	7159	3105	4436	5120	3569	3544
ENSG00000006740	281	138	1293	23	2263	68	206	521	453	169
ENSG00000006744	5088	4322	2046	2710	4714	3342	3029	1833	4844	2309
ENSG00000006747	126	11468	106	2544	290	5464	4676	459	105	57
ENSG00000006756	1134	1491	2381	1246	3036	2150	1411	5711	802	3156
ENSG00000006757	30	210	690	114	28	1102	590	863	842	1382
ENSG00000006788	0	2	3	0	30	0	0	26	70	16
ENSG00000006831	4922	7627	5056	8291	10771	3434	5512	4660	4896	2037
ENSG00000006837	123	75	147	118	62	74	52	86	41	82
ENSG00000007001	31	3	28	6	53	7	4	15	7	2
ENSG00000007038	9	13	2	196	355	31	9	21	22	25
ENSG00000007047	2142	2168	1937	1511	5978	1891	1464	2303	1543	7230
ENSG00000007062	7	31	1645	4	4448	3	1	11001	483	1308
ENSG00000007080	7709	6530	3655	5161	5658	4408	3818	2808	3834	3242
ENSG00000007129	68	309	33	289	170	228	199	62	143	43
ENSG00000007168	8332	11303	8236	5037	13530	7583	11003	5543	6467	4927
ENSG00000007171	16	75	116	43	95	32	90	112	62	59
ENSG00000007174	17	148	85	7	101	152	62	24	6	1
ENSG00000007202	6251	14672	4875	5127	3715	6620	10189	8059	6185	3777
ENSG00000007216	0	2	74	0	0	1	0	1	3	2
ENSG00000007237	835	152885	4840	33021	3546	18771	46381	2204	1932	688
ENSG00000007255	216	810	504	1556	586	796	573	740	185	492
ENSG00000007264	175	119	56	112	193	153	320	311	310	22
ENSG00000007306	0	0	0	0	0	0	0	0	2	0
ENSG00000007312	71	708	2776	103	675	99	151	279	151	106
ENSG00000007314	7	4	949	1	62	5	121	53	5	111
ENSG00000007341	957	650	491	315	682	558	510	296	523	504
ENSG00000007350	0	19	83	55	40	15	6	59	2	1409
ENSG00000007372	409	271	505	131	1997	2924	186	725	2123	64
ENSG00000007376	2205	1184	1035	1550	1244	1305	1095	593	2755	903
ENSG00000007384	1711	12609	1639	6963	3236	3360	18854	2527	3392	1283
ENSG00000007392	2783	1721	4583	3260	3513	2492	2224	2106	3474	2407
ENSG00000007402	30	154	3694	17	12097	49	27	1963	622	1156
ENSG00000007516	27	39	496	46	434	252	28	525	95	54
ENSG00000007520	3263	3073	1991	4635	2280	3631	2077	1639	3910	1797
ENSG00000007541	3103	3180	2787	3262	2597	4355	2465	1087	5662	1797
ENSG00000007545	1391	809	2077	558	1833	983	1010	1036	1583	1269
ENSG00000007866	875	928	1882	462	2299	402	450	2360	2732	3081
ENSG00000007908	2	719	118	12	47	31	177	92	15	2
ENSG00000007923	1933	2186	1242	692	1457	1206	1967	648	1721	2203
ENSG00000007933	24	150	25	46	79	77	146	61	159	3
ENSG00000007944	571	1171	3554	626	2861	617	1818	6905	913	1477
ENSG00000007952	67	81	38	88	103	67	38	39	59	40
ENSG00000007968	588	89	163	161	833	88	252	149	315	338
ENSG00000008018	5773	10453	3864	11412	8375	6713	7789	7354	7062	9897
ENSG00000008056	47	130	299	115	182	244	185	461	114	249
ENSG00000008083	524	2665	1765	1054	3236	1054	2682	1377	1060	4482
ENSG00000008086	655	554	1907	248	5719	698	756	1603	460	943
ENSG00000008118	69	39	47	11	1382	0	79	131	104	337
ENSG00000008128	454	384	178	686	401	401	314	238	387	136
ENSG00000008130	3033	4759	1843	2008	2918	2848	3013	1602	3375	3112
ENSG00000008196	0	80	225	411	358	0	30	349	2	7
ENSG00000008197	0	0	1	0	0	0	0	3	0	1
ENSG00000008226	6	78	200	71	60	139	36	185	22	21
ENSG00000008256	7881	6981	6356	2827	11648	4125	5377	8293	1859	6135
ENSG00000008277	1302	213	10376	77	6090	166	362	4631	268	108
ENSG00000008282	9146	6581	8057	9001	10377	3656	4262	4644	3636	1395
ENSG00000008283	3442	2822	1481	3703	1210	3745	1219	2166	1919	417
ENSG00000008294	10328	11285	17481	5227	12899	6367	9890	6434	10353	5507
ENSG00000008300	3321	1706	92	344	274	191	279	267	2246	802
ENSG00000008311	523	1152	1962	223	1996	916	1220	1064	864	189
ENSG00000008323	9	24	79	754	74	9	20	30	34	21
ENSG00000008324	1212	759	294	740	945	822	655	596	910	911
ENSG00000008382	1214	965	654	827	316	1192	733	629	380	781
ENSG00000008394	1306	358	2302	12239	1835	2693	91	767	1499	380
ENSG00000008405	4621	2256	2220	435	4886	502	1727	2681	1569	1773
ENSG00000008438	2	2	10	4	8	3	3	1	1	5
ENSG00000008441	34867	5683	42305	1848	19700	6995	3579	19922	12187	1840
ENSG00000008513	6350	7242	4131	2079	4804	2334	4905	2902	3066	8143
ENSG00000008516	33	40	102	41	407	36	769	267	319	29
ENSG00000008517	1244	775	282	1524	190	1091	1608	1270	3015	525
ENSG00000008710	6686	12947	18397	6228	11089	5122	5722	9887	8572	4937
ENSG00000008735	50	57	505	251	1139	228	16	426	70	32
ENSG00000008838	6299	6679	7038	4418	7991	4298	4857	3842	5703	2982
ENSG00000008853	1754	3804	3998	2605	1586	2663	2685	3958	3003	1415
ENSG00000008869	908	2121	2117	662	2241	1931	2376	2060	865	1344
ENSG00000008952	7300	13838	8029	5679	20136	5799	8011	11644	7279	6157
ENSG00000008988	54963	37992	27193	58124	55854	29429	29209	60997	39590	110225
ENSG00000009307	45417	34646	17237	13012	15993	22153	33991	15455	28632	32911
ENSG00000009335	2263	8326	5097	4231	4488	3463	6360	3985	1736	2327
ENSG00000009413	2461	1349	3339	242	4241	499	1819	2316	1106	997
ENSG00000009694	7	61	3266	18	7144	9	281	2570	174	99
ENSG00000009709	1	3	2176	0	2337	0	0	826	0	0
ENSG00000009724	65	98	142	19	80	108	65	78	22	39
ENSG00000009765	1	0	4	1	0	0	0	3	3	0
ENSG00000009780	1486	1400	833	618	688	809	703	357	664	468
ENSG00000009790	112	796	102	355	417	795	910	287	674	49
ENSG00000009830	4533	999	1831	554	2572	1205	1650	2179	827	1197
ENSG00000009844	3698	3991	1805	1537	4738	1614	2753	3113	2436	2138
ENSG00000009950	1	1234	204	1773	432	2187	1203	681	29	4
ENSG00000009954	8331	8395	9905	5687	12131	4609	6843	8343	5513	4280
ENSG00000010017	2683	3703	2002	1753	3373	2489	3124	2844	3754	4029
ENSG00000010030	106	245	11	391	9	599	250	93	396	11
ENSG00000010072	614	604	751	215	718	435	916	447	364	676
ENSG00000010165	2943	1992	2225	1042	2715	1117	2469	2449	5529	1657
ENSG00000010219	868	1607	1688	2469	979	1622	1172	1161	985	456
ENSG00000010244	6401	7616	5193	4725	7478	4639	7852	8152	7421	7545
ENSG00000010256	7380	9257	3244	7743	7461	6436	7470	6248	12790	6530
ENSG00000010270	1539	3281	1669	1620	2337	1560	3129	1807	2429	2763
ENSG00000010278	2804	43912	12945	33383	7163	14940	23125	8517	4241	1764
ENSG00000010282	27	2	441	13	49	10	4	308	0	4
ENSG00000010292	7476	3453	4754	6152	12940	2812	5486	7236	9848	4652
ENSG00000010295	2377	2532	2994	4317	1752	2819	2409	1539	1597	386
ENSG00000010310	6	8	52	56	33	15	36	138	112	39
ENSG00000010318	428	169	280	117	744	245	196	333	155	193
ENSG00000010319	258	993	2116	39	569	2817	779	533	302	593
ENSG00000010322	9001	6781	11632	3492	10710	8852	7309	11299	6530	8961
ENSG00000010327	7048	16188	2159	32558	2544	25995	12125	6799	5954	2469
ENSG00000010361	1113	740	860	1006	1179	1487	936	904	900	529
ENSG00000010379	10	14	26	166	16	18	18	32	5	2
ENSG00000010404	8849	21503	11649	9461	5532	13060	7683	8380	4863	2727
ENSG00000010438	11	1	14	7	375	6	6	580	642	305
ENSG00000010539	955	472	541	249	1197	359	451	553	1009	930
ENSG00000010610	4100	13314	877	7121	1115	10734	14105	2390	4819	680
ENSG00000010626	439	914	721	2540	621	764	473	794	182	159
ENSG00000010671	289	2128	176	814	106	1497	2090	219	472	70
ENSG00000010704	296	1329	1215	786	353	1203	647	1339	345	98
ENSG00000010803	2315	4167	2247	1827	2718	3050	919	1967	1490	2430
ENSG00000010810	8841	6019	3853	4385	9653	8980	10214	5699	4017	4164
ENSG00000010818	4091	4814	3609	1054	3258	1294	3287	2810	1693	935
ENSG00000010932	69	273	145	2	57	113	785	1389	616	14
ENSG00000011007	3843	4056	2324	2215	3613	1920	3131	2202	2517	3863
ENSG00000011009	3684	3279	1301	3219	2215	2412	2913	1884	5114	9102
ENSG00000011021	2303	5609	1083	1503	1164	2946	2849	1002	1278	807
ENSG00000011028	53354	5395	70168	16538	53270	3011	11899	39953	17535	6721
ENSG00000011052	99	45	13	132	30	38	71	69	80	72
ENSG00000011083	91	24	1	9	1	2	5	53	11	6
ENSG00000011105	7264	3748	9848	6847	11387	1101	2478	6626	4119	6158
ENSG00000011114	3518	1741	3212	470	6532	1397	2120	2910	1196	2553
ENSG00000011132	2346	1219	1460	1040	1831	1055	1084	1309	753	1033
ENSG00000011143	1427	814	1806	1282	1411	864	764	1005	931	1195
ENSG00000011198	1233	875	403	213	830	310	554	434	1389	393
ENSG00000011201	1175	858	10161	306	9815	3412	1211	7335	8006	465
ENSG00000011243	5989	3190	4369	2442	3012	2335	2523	3102	2890	5056
ENSG00000011258	979	1051	2204	496	2869	803	1074	1834	1546	2193
ENSG00000011260	2024	3292	1763	2031	2666	1555	1770	2058	4162	2218
ENSG00000011275	6522	4641	4043	3034	10072	3965	3001	9814	3923	3950
ENSG00000011295	2051	3679	2469	2319	3005	1844	1913	1303	3803	1068
ENSG00000011304	17417	13388	11238	8151	21373	11115	13727	17980	19234	19511
ENSG00000011332	59	48	162	175	247	77	80	112	155	1232
ENSG00000011347	86	1244	140	462	730	25	218	827	261	619
ENSG00000011376	1513	1526	1038	600	3004	954	1624	1330	2042	1067
ENSG00000011405	1413	3405	2615	1187	3037	2594	3424	2824	1202	3206
ENSG00000011422	6921	12041	134	6307	624	2057	4975	785	23085	382
ENSG00000011426	8057	743	1410	567	11464	346	1935	1678	17891	3025
ENSG00000011451	11819	4168	5958	1557	5815	3274	3110	4796	3448	5030
ENSG00000011454	3757	4420	3519	2278	3808	4062	4263	4241	3523	2177
ENSG00000011465	178791	14268	27288	760	17218	4525	37037	115711	10425	1542
ENSG00000011478	595	653	291	1259	197	432	740	366	847	578
ENSG00000011485	4527	2782	2697	2009	6020	2650	3457	2223	3505	6163
ENSG00000011523	1328	1900	2515	995	2655	1162	1416	2182	835	1436
ENSG00000011566	976	3141	2361	647	2889	977	1770	2090	880	3250
ENSG00000011590	9	32	13	10	10	9	21	14	68	49
ENSG00000011600	3182	17540	505	17131	1112	12936	13789	2231	3216	1080
ENSG00000011638	3140	766	7430	1174	1536	659	586	1364	894	199
ENSG00000011677	2	1	103	4	3176	1739	2	172	2033	803
ENSG00000012048	1757	1159	533	652	2543	380	665	591	1066	1016
ENSG00000012061	3180	7734	1746	9328	2399	3983	7557	1509	2562	2079
ENSG00000012124	58	1894	38	510	315	238	4539	463	137	443
ENSG00000012171	84	112087	4211	62628	3145	104825	117768	5059	865	870
ENSG00000012174	842	3796	2491	2099	2552	1077	1920	2458	1649	1882
ENSG00000012211	646	506	70	328	334	319	445	296	454	176
ENSG00000012223	42	33	327	1	71	1200	68	10	11631	12
ENSG00000012232	2541	6599	5401	3676	2053	3434	5667	4219	3133	2594
ENSG00000012504	1854	6	1	3	2	0	3	8	0	0
ENSG00000012660	5371	11817	4334	7911	5122	8899	16367	5214	3913	5255
ENSG00000012779	522	4056	268	2912	193	4311	3252	368	1684	160
ENSG00000012817	279	923	1	481	0	2	1308	0	943	0
ENSG00000012822	2579	7192	6459	3789	5138	5275	5608	6410	2555	4034
ENSG00000012963	4570	2078	3373	1503	7190	1942	2067	3110	2432	2168
ENSG00000012983	3444	3986	4464	1031	8493	3713	3674	4318	2134	1759
ENSG00000013016	1441	1805	989	669	1561	1298	1707	1191	2182	836
ENSG00000013275	6544	6191	2508	11831	6121	4739	6093	4813	6034	13124
ENSG00000013288	4657	7903	4128	3000	2507	4437	6221	4849	4825	1498
ENSG00000013293	2	0	3	2	137	1	2	23	0	48
ENSG00000013297	824	1060	83	1450	115	849	1063	93	547	623
ENSG00000013306	6087	9072	4880	9204	6521	6772	5170	4130	6187	5840
ENSG00000013364	17340	19031	3928	18601	1085	22035	16412	5359	10815	1044
ENSG00000013374	3202	6874	4852	6663	3557	3645	4357	3648	2289	1611
ENSG00000013375	1934	3428	1470	1530	4577	2138	2470	3963	3625	2206
ENSG00000013392	244	629	458	477	594	446	407	614	337	240
ENSG00000013441	2658	2879	5062	3544	2635	3521	2725	4585	2380	3643
ENSG00000013503	1482	481	656	186	1252	373	520	842	694	1034
ENSG00000013523	1302	3011	2081	956	2453	2581	1997	1632	857	1699
ENSG00000013561	2743	4300	3361	2563	2209	3173	3010	2232	1444	1173
ENSG00000013563	448	2673	1230	1732	501	2359	2287	621	584	632
ENSG00000013573	4761	751	877	1105	1907	255	819	1838	4309	861
ENSG00000013583	3009	1274	2087	3330	3148	1162	994	3406	1910	609
ENSG00000013588	1957	56	215	565	143	13	166	279	7739	36
ENSG00000013619	1851	1036	1429	436	787	1703	2272	464	1065	275
ENSG00000013725	90	446	65	77	154	511	502	424	1240	147
ENSG00000013810	4316	1319	3052	4177	9626	1498	2207	2870	11194	4576
ENSG00000014123	2982	1785	2391	834	4722	1665	2681	3361	1227	1784
ENSG00000014138	2754	1161	573	895	1559	709	942	674	3718	1453
ENSG00000014164	4193	1926	1366	1944	3903	1733	1349	2012	1245	2273
ENSG00000014216	10396	8753	3654	6367	9541	10620	7701	7538	11711	5881
ENSG00000014257	254	2077	25	14652	114	221	941	292	53	18
ENSG00000014641	7548	6898	4280	9123	5993	5211	5975	6028	9472	3583
ENSG00000014824	3631	5689	6322	2150	10326	3042	3606	3912	3883	2947
ENSG00000014914	1667	789	2865	415	2788	1816	1101	2176	901	1021
ENSG00000014919	1047	2192	1430	1173	1917	1509	1843	2230	1462	1136
ENSG00000015133	119	240	1128	368	524	256	399	590	833	1167
ENSG00000015153	595	1188	663	636	868	606	776	716	2063	1258
ENSG00000015171	4527	2998	4983	2037	6268	4893	5112	2679	2053	3140
ENSG00000015285	348	4631	144	3326	179	3269	3828	420	997	164
ENSG00000015413	25	23	120	0	61	3	286	13	24	105
ENSG00000015475	560	3128	576	2048	1191	1350	1847	701	2787	1096
ENSG00000015479	335	291	663	48	391	172	279	442	254	268
ENSG00000015520	11	14	21	17	7	6	9	22	5	17
ENSG00000015532	2177	3466	5037	3967	5103	1900	1673	3306	4857	2891
ENSG00000015568	1	1	0	0	0	0	1	2	0	3
ENSG00000015592	35	0	7	46	1	0	2	2	923	52
ENSG00000015676	9357	7113	8476	3087	13342	5544	6129	7420	6685	5447
ENSG00000016082	7	13	869	1	781	19	0	240	2	10
ENSG00000016391	14	17	228	7	892	44	28	621	480	142
ENSG00000016402	1	2	614	8	965	9	5	1140	31	29
ENSG00000016490	8	0	1	0	0	0	0	0	0	2
ENSG00000016602	4	1	0	0	0	3	5	0	0	2
ENSG00000016864	6608	4538	3807	4727	8542	3898	4608	5041	3905	3145
ENSG00000017260	8650	8820	5613	3784	7097	5350	6910	5010	8436	3341
ENSG00000017427	275	163	265	55	58	816	85	78	100	601
ENSG00000017483	172	123	28	46	190	1098	104	524	499	258
ENSG00000017797	5993	4778	2680	3274	3151	13684	6572	2498	2622	2795
ENSG00000018189	3216	1512	4632	1479	1346	1663	1980	2011	1950	2825
ENSG00000018236	67	2727	29052	154	699	9382	110	1139	2406	116
ENSG00000018280	1057	8081	123	17382	209	5031	2035	465	674	323
ENSG00000018408	8735	20473	9141	4573	21186	8540	16552	7384	7722	1617
ENSG00000018510	4286	4055	3408	1451	5433	2737	3434	3044	1924	3769
ENSG00000018607	0	0	1	2	4	2	3	6	1	6
ENSG00000018610	1895	2063	2101	1210	4339	943	1272	2691	989	1043
ENSG00000018625	13	358	36957	4	16682	11918	16	3670	24	140
