NAMES	DESCRIPTION	f65571bf-793a-43d5-93aa-c85bac4dca56.htseq.counts	0b3957f2-b010-44ef-8376-455427a5e158.htseq.counts	01ddf9de-8532-4a68-af48-fec5bed7e78d.htseq.counts	254023bc-c2bd-4d26-8f62-b18e2906037d.htseq.counts	4a7fa98b-c6cb-48a9-909e-41a7efde10b2.htseq.counts	14aa3bdb-5c34-4fb4-91b8-876faf41674d.htseq.counts	cb26f33d-b1b7-411a-9f21-7e3ea98694d9.htseq.counts	9a2b0bc5-8882-4aba-ac8a-51b1484b66ea.htseq.counts	fd700b77-843b-49a6-800d-545b5f2bab90.htseq.counts	f10cc48c-4566-41fd-8dbf-66393ee09d70.htseq.counts
RPAP3		1463.923487	1842.991426	1254.386096	1120.671773	2286.396225	1082.079918	1235.815216	1437.667837	3357.65584	1909.37165
ACSM3		93.85365383	93.42759023	204.8766197	67.84607493	29.13082417	170.0890874	141.2642493	50.31837428	346.5967319	90.97729817
REXO5		185.7721808	96.95315967	454.2076003	365.8841898	640.1311876	259.6096596	162.9972108	166.2303436	424.5809966	111.7063028
CIAPIN1		1923.516122	2334.808363	1852.58717	2716.266071	1965.210215	1468.137386	3101.886314	1894.127375	2181.393181	3093.228138
SPPL2B		1549.06907	3290.237682	5156.705862	3955.668476	2384.992861	7414.5414	2852.94512	2882.524012	2135.90236	3232.573113
FAM214B		1706.781911	3257.626165	477.4011799	1610.132743	383.1823795	2030.997984	3173.01237	726.9207999	2396.933024	1650.259092
COPZ2		681.1646629	2322.46887	3673.283168	5353.782234	3062.471259	1948.191454	1248.657421	3310.230194	680.1960863	932.8052091
PRKAR2B		106.4319786	1028.584885	3273.19392	1768.844096	8127.499944	612.096913	848.573358	1091.729013	503.648376	163.5288144
MSL3		1786.122113	1862.382058	1263.083689	1361.767647	1289.97265	1753.48421	1992.517419	1616.477774	2207.387936	3018.373399
CREBBP		9691.115431	5058.310758	13444.54497	2606.0162	13027.45396	4411.1262	6276.874408	6360.781635	8479.705669	4987.62884
TSPOAP1		417.9874068	231.8061908	20.29438214	254.422781	2359.596758	2055.616141	114.5919785	2180.7624	749.5154327	361.6059699
MPO		0.967563442	6.169746524	0.96639915	9.692296419	33.61248943	15.66610015	13.83006637	66.49213744	70.40246116	515.9218934
PON1		0	4.406961803	3.865596598	1.211537052	23.1552705	0	3.951447534	2.695627194	8.664918297	59.8837912
GCFC2		722.7698909	1649.085107	1690.232113	982.5565494	1156.269636	1030.605588	754.726479	1304.683562	1079.865443	770.428006
WDR54		1033.357756	977.4641279	301.5165347	3748.49564	684.2008959	1093.269989	1141.968337	1231.003085	3804.982247	680.6023192
CROT		1244.286586	1055.026656	2552.260154	714.8068609	1930.850782	1029.486581	641.1223624	1107.004234	604.3780512	492.889666
ABCB4		37.73497422	1277.137531	1538.507446	915.9220116	967.2927514	209.2543377	991.8133311	502.2852004	399.6693565	25.33545012
KMT2E		2950.100933	5020.410886	9025.201658	2312.824233	10742.55162	3396.186711	5656.497145	4498.103244	3017.557797	2303.222739
RHBDD2		2226.363479	6472.945496	5547.131119	29946.77286	3895.314053	9087.457095	5027.229125	3433.330502	3195.188622	3647.153206
SOX8		1.935126883	656.6373087	2680.791241	1966.324636	1583.521724	4683.044938	6017.066733	1878.852154	25.99475489	2884.78648
IBTK		2174.115053	2877.746057	2711.716014	1858.497838	4031.257899	2385.723252	3497.031068	3885.297328	3408.562235	2000.348948
ZNF195		571.829994	523.5470622	544.0827212	863.8259183	551.2448266	926.5379232	684.5882853	663.1242896	525.3106718	973.111607
MYCBP2		2999.446669	3774.122088	2475.914621	2249.824306	3897.554885	3077.269673	4518.480255	3934.71716	1894.367763	2903.212262
FBXL3		1958.348406	3535.264758	1900.907127	2048.709155	2851.086048	3410.733804	3962.314015	2871.741504	1441.625782	2380.3807
ITGAL		256.404312	1934.656232	184.5822376	846.8643996	100.0905241	3136.577052	3180.915265	568.7773378	2873.50353	457.1897136
PDK2		1059.481969	1790.107884	2994.870965	1697.36341	1753.825004	2249.204379	1267.426797	2019.024768	1383.137583	2547.364349
ITGA3		700.5159317	47534.3714	1176.107765	67306.94094	773.8342011	16331.90941	39451.25218	1342.422342	14668.62356	918.9858727
ZFX		1422.318259	1996.353697	2507.805793	1207.902441	3428.473922	1819.505632	1529.210196	2438.644068	1269.410531	3259.060175
LAMP2		26847.95038	25396.43948	8109.055264	22824.14653	18220.95705	14665.70776	17118.65858	17316.70909	11502.67904	5551.918411
ITGA2B		31.92959357	14.98367013	1148.08219	133.2690758	336.8718385	133.1618513	9.878618835	421.4163846	222.0385314	444.5219885
ASB4		0	4.406961803	5.798394898	4.846148209	95.60885882	3.357021461	2.963585651	26.95627194	3.249344361	42.60962066
GDE1		2900.755198	5335.067959	2120.279734	3117.284836	2817.473558	3961.285324	5462.876216	1673.984487	5793.580996	1304.775681
REX1BD		2860.117533	1823.600794	2348.349934	4870.37895	2158.668766	2267.108493	1986.590248	1505.058516	1989.681864	1009.963171
CRLF1		59.98893338	1089.400958	6499.034281	1652.536539	8009.482759	80.56851506	17772.62315	5468.529033	415.9160783	345.4834108
OSBPL7		399.6037014	735.0812288	1706.660898	886.8451223	414.5540363	1346.165606	814.9860539	490.6041492	975.8864232	542.4089549
TMEM98		911.444762	395.7451699	5937.556375	885.6335853	7804.073101	138.7568871	1563.785362	10100.51509	3516.873714	8696.969061
YBX2		1.935126883	3.525569443	263.8269678	50.8845562	216.6138208	2.238014307	17.7815139	81.76735821	5.415573936	276.3867286
MAP3K14		1622.603892	2516.37519	1456.363518	4479.052482	1074.105773	2136.184656	2021.165414	1789.896457	2230.133347	553.9250686
ABCC8		0	90.78341314	404.9212437	289.5573555	73.20053254	59.30737914	1.975723767	64.69505265	1.083114787	61.03540257
TMEM132A		3643.843921	5092.68506	3438.448174	23593.47256	17069.91602	4191.800798	9968.514267	7549.553227	5297.514424	6531.939686
AP2B1		12319.9853	21247.72564	8398.00861	12356.4664	7669.623144	12676.11304	17403.1628	13832.16167	12226.19972	17820.03433
TAC1		0	41.42544095	0	10.90383347	80.66997463	0	0.987861884	557.9948291	0	92.12890954
ZNF263		2266.03358	1642.91536	2270.071602	2106.862934	1848.686919	1225.312833	1723.818987	1432.276582	2427.260238	1750.449281
CX3CL1		575.7002477	846.1366662	7622.956492	5278.666937	1198.845456	424.1037112	952.2988557	1711.723268	953.1410127	1256.408004
SPATA20		525.3869488	2950.020231	11500.14988	9723.796382	5788.817624	6117.612109	1734.685467	6040.900541	3981.529958	3644.849984
CACNA1G		164.4857851	12.33949305	27621.62049	66.63453788	5282.38945	6.714042922	12.84220449	1615.579231	38.99213234	1028.388953
TNFRSF12A		5779.256437	12811.91935	404.9212437	14230.71422	586.3512045	4431.268328	9296.768186	913.8176186	23650.89449	376.5769177
DLX6		5.80538065	168.3459409	1189.637353	344.0765229	1517.790634	17.90411446	16.79365202	512.1691668	2.166229574	282.1447855
MAP3K9		715.0293833	90.78341314	546.0155195	150.2305945	455.6359678	234.9915023	249.9290565	402.5469942	421.3316522	406.5188133
RALA		23002.85326	2970.292255	2619.908095	2297.074251	6066.68087	2614.000711	3949.47181	3042.464559	7644.624168	5923.888883
BAIAP2L1		415.0847164	95.19037495	787.6153069	632.4223413	841.8061242	78.33050075	68.16246996	400.7499094	1217.421021	293.6608992
KDM7A		3432.915091	1086.756781	1420.60675	902.595104	1585.015613	609.8588987	1742.588363	2169.979891	870.8242889	589.6250211
ETV1		7721.156264	1982.251419	6212.980133	2197.728213	26717.44743	492.3631476	3262.907801	15128.75835	1684.243494	4640.993818
AGK		1195.908414	1399.651069	2224.650842	1464.748296	2957.152126	2628.547804	1590.457632	1275.031663	779.8426467	1144.701701
ALDH3B1		842.7477576	2753.469735	1267.915684	4764.975227	225.5771513	16034.2535	3368.609023	1045.004809	1228.252169	157.7707576
TTC22		4.837817208	10.57670833	2.899197449	6.057685262	2.240832629	5.595035768	15.80579014	27.85481433	97.48033084	27.63867286
PHTF2		2623.06449	1054.145263	3601.769631	2358.862641	3600.27109	699.379471	1825.568761	2336.210234	2664.462376	1757.358949
CCL26		89.98340007	11.45810069	0	222.9228176	2.987776838	8.952057229	54.33240359	5.391254387	81.23360904	5.758056846
FARP2		328.0040067	3048.736175	1663.172936	2778.054461	2094.431564	1601.299237	4258.67258	1664.100521	531.8093605	885.589143
USH1C		0	7.051138885	18.36158384	3.634611157	320.4390659	13.42808584	0	1021.642706	0	119.7675824
GGCT		2424.713985	1336.190819	803.0776933	2257.093528	1835.241923	1785.935417	1518.343715	1939.054495	2314.6163	1282.895065
DBF4		841.7801942	296.1478332	548.914717	365.8841898	1984.630765	233.8724951	466.270809	645.1534417	766.8452693	830.3117972
TBXA2R		143.1993894	223.8736596	451.3084029	138.115224	632.6617455	570.6936484	219.3053381	606.5161186	224.2047609	989.2341662
IFRD1		10584.17649	3124.535918	1954.059081	4697.129152	867.9491715	2617.357732	3004.087988	1143.844472	2742.446641	1434.907766
COX10		1104.95745	601.9909823	513.1579484	468.8648393	476.5504057	407.3186039	585.8020969	355.8227896	1117.77446	763.5183378
GTF2IRD1		1811.278763	1421.685878	3911.017359	2009.93997	2470.144501	1242.097941	1547.979571	2332.616065	1821.799072	1993.43928
PAF1		4791.374163	4856.471907	3155.293224	10535.52621	3518.854171	4424.554285	4284.356989	5056.098073	4745.125882	12199.01923
VPS41		5139.697002	4198.953206	4603.925549	1545.921279	5347.373596	3474.517212	4382.155315	4600.537077	3865.636675	4081.310693
ARHGAP44		271.8853271	121.6321458	1249.5541	27.8653522	1690.334746	76.09248645	203.499548	468.1405893	490.6509986	194.6223214
ELAC2		4922.962791	3809.377783	1977.25266	3283.265412	3521.095004	3739.721907	2992.233645	1647.028215	5246.608029	2659.070652
SCIN		121.9129936	10107.80759	102.4383099	3082.150261	216.6138208	6114.255087	4619.242167	412.4309606	113.7270527	65.64184805
ARSD		1097.216943	1314.15601	2300.996375	1509.575167	2267.72262	2405.86538	1393.873118	5131.575634	868.6580593	3634.485481
PNPLA4		29.02690325	185.0923957	666.8154132	138.115224	20.91443787	1233.145883	582.8385113	775.4420894	911.9826508	1591.526912
MYH13		0	1.762784721	2.899197449	0	22.40832629	0	0	23.36210234	75.8180351	18.42578191
ADIPOR2		4762.347259	6722.379534	4886.1141	10044.8537	8045.336081	3842.670566	5445.094702	4187.207574	5302.929998	2345.832359
CDKL3		119.0103033	66.10442705	142.060675	142.9613722	46.31054099	82.80652937	51.36881794	77.27464622	44.40770627	94.43213228
UPP2		29.99446669	2.644177082	27.05917619	7.269222314	39.58804311	7.833050075	3.951447534	13.47813597	7.58180351	2.303222739
PRSS21		8.708070974	11.45810069	1.932798299	237.4612623	265.1651944	34.68922176	8.890756952	18.86939036	23.82852532	28.79028423
MARK4		2072.520892	1910.858638	1871.915153	1830.632486	4465.232485	2116.042528	1446.229797	2069.343142	1671.246117	8326.1502
PROM1		6.772944091	27.32316318	1589.726601	4.846148209	3322.407844	3.357021461	0.987861884	9884.864919	523.1444422	1506.307671
CCDC124		7458.946571	5755.492115	3532.188892	6252.742727	4226.210338	4932.583533	3771.656671	2523.107053	4152.662094	3733.524059
CEACAM21		65.79431403	272.3502394	31.89117194	350.1342081	126.9805156	255.133631	196.5845148	55.70962867	154.8854146	49.51928888
PAFAH1B1		8061.738595	9962.377852	7959.263396	6102.512133	10106.15516	8485.431246	10869.4443	4980.620511	7004.503328	5673.989216
NOS2		15.48101507	66.10442705	112.1023014	52.09609325	70.95969991	35.80822892	88.90756952	100.6367486	67.1531168	67.94507079
DNAH9		16.44857851	130.4460694	82.14392772	8.480759366	75.44136516	170.0890874	61.24743678	21.56501755	6.498688723	1.151611369
KIAA0100		6048.239073	12931.78872	4711.195854	6211.550467	2774.897738	7407.827357	10065.32473	7241.353184	6699.064959	4349.636142
SLC13A2		0	1.762784721	71.51353707	0	0	1.119007154	0	0.898542398	3.249344361	2.303222739
GAS7		807.9154737	134751.6711	4677.371884	40006.16501	2648.664167	21004.88328	45818.02202	1980.387445	2092.577769	792.308622
TRAPPC6A		208.9937034	713.9278121	487.0651714	1885.151653	437.7093068	890.7296943	566.0448593	664.9213744	200.3762356	566.5927937
MATK		169.3236023	104.8856909	54.11835238	135.6921499	144.1602324	171.2080945	316.1158027	279.4466857	335.765584	25.33545012
CD79B		68.69700435	624.0257913	2682.724039	124.7883164	504.1873414	110.7817082	149.1671444	250.693329	163.5503329	122.0708051
SCN4A		6.772944091	3.525569443	917.112793	1.211537052	46.31054099	5.595035768	119.5312879	47.62274709	5.415573936	127.828862
ST7L		925.9582136	572.9050344	474.5019825	381.6341715	509.4159509	624.4059917	503.8095606	265.9685498	566.4690337	580.4121301
TKTL1		0	16.74645485	80.21112942	66.63453788	29.87776838	16.7851073	5.927171301	53.01400147	2.166229574	1622.620419
PAX6		395.7334476	238.8573297	488.0315706	158.7113539	1491.647586	3271.976917	183.7423103	651.4432385	2299.452693	73.70312763
RPUSD1		2133.477389	1043.568555	1000.22312	1877.882431	929.1985967	1460.304335	1081.708762	532.8356419	2983.981239	1039.905066
RHBDF1		1655.501049	11113.47628	1583.928206	8435.932495	2417.111462	3759.864036	18625.14795	2270.616639	3673.925358	1477.517387
LUC7L		2692.729058	1516.876253	4429.007303	3949.610791	2624.015008	2788.565827	2197.004829	1892.33029	3762.740771	2771.928566
CACNA2D2		29.02690325	135.7344235	3569.878459	20.59612989	9035.784103	54.83135053	26.67227086	1763.838727	673.6973976	1331.262743
BAIAP3		26.12421292	34.37430206	479.3339782	55.73070441	324.1737869	281.9898027	27.66013274	471.7347589	102.8959048	62.18701394
TSR3		3157.15951	2708.518724	1924.100707	5615.474238	1703.032798	4063.114975	2051.789132	1472.71099	4234.978818	2069.445631
PIGQ		3002.349359	2802.827707	2693.35443	3952.033865	1939.814112	4873.276154	2435.079543	976.7155865	6132.595925	2069.445631
CRAMP1		1345.880747	713.0464197	2007.211034	676.0376752	1369.148736	1099.984032	997.7405024	930.8899242	1714.570708	1461.394828
TEAD3		846.6180114	817.9321107	1818.7632	559.7301182	1717.224738	449.8408758	444.5378476	2120.560059	2959.069598	3548.114629
SELE		1.935126883	633.7211073	114.0350997	14.53844463	35.10637785	34.68922176	174.8515534	82.6659006	16.24672181	2.303222739
DNAJC11		1870.300133	1926.7237	1200.267744	838.3836402	1088.297713	1349.522627	1943.124325	582.2554738	1864.040549	2536.999846
FMO3		23.2215226	132.2088541	24.15997874	55.73070441	59.00859255	86.16355083	144.227835	54.81108627	172.2152512	3.454834108
MYLIP		552.4787251	1032.110454	3434.582578	758.4221948	2137.007384	690.4274138	1795.932904	6204.435257	988.8838007	1700.929992
NOX1		64.82675059	71.39278121	36.72316769	106.6152606	76.93525358	74.97347929	37.53875157	35.04315352	63.90377244	46.06445477
E2F2		568.9273037	78.4439201	157.5230614	195.0574654	622.2045266	98.47262952	248.9411946	133.8828173	341.181158	389.2446428
PSMB1		5585.743748	9213.194346	3734.166314	13826.06084	6255.657755	7511.895022	7694.456211	6607.880794	7648.956627	11397.49772
SYN1		45.47548175	114.5810069	288.9533457	139.326761	135.9438461	273.0377455	182.7544485	414.2280454	123.4750857	286.7512309
JARID2		507.0032434	2348.910641	1705.694499	1276.960053	2417.111462	1179.43354	2649.445572	1237.292882	1148.101674	5161.522157
CDKL5		633.7540542	488.2913678	1842.923178	300.461189	4271.773934	781.0669932	746.8235839	1440.363464	498.2328021	1085.969521
CAMK1G		66.76187747	34.37430206	45.42076003	13.32690758	1032.276898	0	78.0410888	117.7090541	112.6439379	388.0930314
CDK11A		439.2738025	338.4546665	172.0190486	831.1144179	299.524628	448.7218686	310.1886314	213.8530907	419.1654226	156.6191462
NADK		2934.619918	4194.546244	1781.073633	2432.766401	2179.583203	3186.932374	2976.427855	1439.464921	3655.512407	3583.814581
TFAP2B		0	70.51138885	217.4398087	497.9417285	267.406027	0	29.63585651	313.5912969	2.166229574	8.061279585
DLEC1		5.80538065	68.74860413	193.2798299	86.01913072	44.81665257	155.5419944	35.56302781	166.2303436	23.82852532	24.18383875
CYTH3		7625.367483	6153.00007	6142.432995	3425.015247	8700.406153	4615.904509	5311.733348	7451.612106	2013.510389	7065.13575
ADAM22		1259.767601	187.7365728	10027.35758	93.28835303	4548.890236	185.7551875	357.6060018	4161.149845	290.274763	124.3740279
SYPL1		8849.335237	5800.443125	7786.277949	10905.04501	7751.040062	4091.090154	4210.267348	4172.830896	3938.205366	1606.49786
