ensembl	fca51e84-4783-4e3a-b4a0-85371ce84e43.htseq.counts	cb9beb00-4b21-454f-a865-726bd8120d46.htseq.counts	c1b63308-8e44-46e6-9d83-10e4f69898ff.htseq.counts	6b765cb3-2593-4776-bdfa-a560bc79ff52.htseq.counts	be630f1e-165e-45b7-b4f8-e80ac3ebe323.htseq.counts	d6b51a36-7ce9-4044-809b-e48e9213abd8.htseq.counts	5f86524f-b1b9-4511-9f23-3d5b34bb8cf4.htseq.counts	17fd8633-6271-45f3-9e8a-60d093be9e6b.htseq.counts	23758664-22b8-4bc5-9a03-061619380b20.htseq.counts	44db1348-8a8c-4ef2-99e9-e5a13a9c81ec.htseq.counts
ENSG00000005007	10593	5927	5717	5805	7220	10961	8423	9674	9850	3325
ENSG00000005020	252	131	92	4857	1051	389	431	125	449	696
ENSG00000005022	12072	5342	5894	7577	11732	11165	5319	20301	8874	4357
ENSG00000005059	612	1427	1167	356	1094	538	430	2855	1263	225
ENSG00000005073	75	80	41	17	284	934	28	9	842	2
ENSG00000005075	1118	1795	2299	2053	2264	1273	1002	2701	1197	4709
ENSG00000005100	3784	1547	806	1179	919	3101	1901	2732	3479	944
ENSG00000005102	1832	2389	4065	6864	585	589	2552	7410	4404	262
ENSG00000005108	816	8	61	43	233	132	1128	65	1120	182
ENSG00000005156	4124	1329	1632	1398	1505	3141	3268	2577	4409	746
ENSG00000005175	1652	743	1060	743	1368	1573	1576	2056	2011	472
ENSG00000005187	694	14	850	99	412	1536	407	1141	74	22
ENSG00000005189	267	205	271	159	181	188	158	442	176	146
ENSG00000005194	2725	1964	1506	2653	2151	4208	1589	3958	2671	993
ENSG00000005206	3336	3015	3888	3434	2951	3349	2280	4513	3704	3446
ENSG00000005238	1027	1075	1366	1174	1923	892	1066	2180	1945	1242
ENSG00000005243	448	111	84	1657	3233	414	1506	2199	1163	2825
ENSG00000005249	3243	495	1737	505	1200	628	2032	1748	6713	536
ENSG00000005302	2421	703	1045	1061	1248	3370	1298	1810	2540	388
ENSG00000005339	11417	3541	4544	4158	4340	8840	12086	5983	17052	1918
ENSG00000005379	433	38	1832	14	165	18	27	483	142	73
ENSG00000005381	0	0	10	3	40	2	2	25	3	5
ENSG00000005421	1	3	0	1	7	0	4	3	2	1
ENSG00000005436	2965	1305	1086	1035	993	2126	1709	2085	2563	889
ENSG00000005448	918	1231	1280	1318	961	897	472	1284	945	3065
ENSG00000005469	1528	583	859	532	658	1179	1188	957	2069	261
ENSG00000005471	87	41	67	6	269	90	24	23	122	21
ENSG00000005483	6324	2655	2244	1480	1718	5480	6122	2550	9775	729
ENSG00000005486	3495	3579	5080	4282	4064	4478	3773	8245	5117	11485
ENSG00000005513	6414	2436	1909	5459	5545	2534	5855	15441	4718	13946
ENSG00000005700	4789	2714	1769	1766	1578	3852	4459	2922	7778	1518
ENSG00000005801	1533	782	855	604	763	1101	589	1106	1203	404
ENSG00000005810	4598	1710	1308	1065	1815	3132	3864	2433	6146	491
ENSG00000005812	3862	872	1041	1203	1825	2629	2444	2239	4672	509
ENSG00000005844	87	46	128	164	117	367	192	178	51	56
ENSG00000005882	2696	1225	1028	1320	1683	2847	2745	2181	3437	222
ENSG00000005884	1305	2335	1373	1230	1455	792	837	2801	982	231
ENSG00000005889	4098	859	1437	703	1416	3444	1936	1119	4495	136
ENSG00000005893	5878	2498	3748	2585	5366	5293	6813	5765	9269	2362
ENSG00000005961	329	33	95	524	89	234	143	348	244	127
ENSG00000005981	1	0	0	0	139	1	2	1	0	1
ENSG00000006007	2917	3039	3137	1633	2924	3559	2811	3685	3706	1700
ENSG00000006015	1679	2554	2511	3557	3212	2209	2303	3585	1658	6625
ENSG00000006016	32257	33629	17118	21215	16075	20647	13924	37073	22599	103556
ENSG00000006025	1105	1153	814	1374	783	744	1100	1430	1632	697
ENSG00000006042	7663	915	5421	7512	5423	7415	6608	14344	5529	1410
ENSG00000006047	1150	4299	1505	1723	489	2335	527	879	1274	1317
ENSG00000006059	0	0	0	1	0	0	0	0	0	0
ENSG00000006062	798	582	643	458	897	633	717	1581	1152	90
ENSG00000006071	136	26	25	86	42	1851	15	246	52	26
ENSG00000006116	0	0	0	1	1	0	1	0	1	0
ENSG00000006118	11925	7729	6503	27890	7855	8917	3918	11934	3680	9317
ENSG00000006125	22036	11435	11466	10889	8588	15425	15457	20661	21673	6807
ENSG00000006128	1073	2	12	0	25	37	0	16	34	0
ENSG00000006194	3774	1694	2040	2579	2291	4033	2306	4479	3168	3425
ENSG00000006210	502	237	266	1491	2475	390	1356	7602	366	3984
ENSG00000006282	4073	6698	4551	2617	4565	3377	3335	11273	10986	1543
ENSG00000006283	16827	4112	3054	5241	6505	13935	9081	6030	15196	5354
ENSG00000006327	543	1612	2906	1684	3070	265	374	10830	1303	624
ENSG00000006377	272	3629	1014	152	19	10	22	121	2582	19
ENSG00000006432	146	345	269	22	114	22	89	214	233	65
ENSG00000006451	5056	1989	2644	2797	3026	3884	2996	4015	3316	3289
ENSG00000006453	1860	1496	3757	1385	952	303	566	2016	1936	1138
ENSG00000006459	1225	498	1579	288	766	3183	1118	1120	1421	49
ENSG00000006468	2683	752	723	186	1801	4431	8092	178	3205	532
ENSG00000006530	2590	1059	954	748	933	2255	1365	1677	2268	197
ENSG00000006534	111	179	865	35	227	89	82	326	116	270
ENSG00000006555	7	82	237	10	13	4	217	134	93	17
ENSG00000006576	3435	1497	1032	1624	1993	2482	2192	1657	4887	1620
ENSG00000006606	1	7	0	5	28	18	3	11	4	4
ENSG00000006607	2551	673	1088	654	1102	2112	946	1626	2654	233
ENSG00000006611	48	10	98	625	178	397	85	932	6	444
ENSG00000006625	1714	1693	1882	1568	965	1362	922	3777	1085	1495
ENSG00000006634	788	422	431	337	374	762	369	773	440	74
ENSG00000006638	998	935	335	1645	671	345	956	1586	215	1106
ENSG00000006652	860	823	504	454	1342	1084	779	1274	1015	723
ENSG00000006659	0	0	0	2	0	0	0	0	0	2
ENSG00000006695	1005	463	305	461	669	1124	437	921	878	252
ENSG00000006704	2085	682	2324	1147	2075	1742	2311	2826	1550	253
ENSG00000006712	5208	4387	5171	6130	5048	5709	5083	11244	4988	5697
ENSG00000006715	6691	1846	2015	2402	2215	4816	4337	3680	6444	1889
ENSG00000006740	730	775	515	490	428	1316	549	722	1804	212
ENSG00000006744	6128	4893	3583	3838	3729	5741	2844	6102	5156	2489
ENSG00000006747	101	39	268	74	118	247	185	91	55	68
ENSG00000006756	2550	1152	3308	311	1557	990	1204	2068	1054	389
ENSG00000006757	2126	647	1414	713	553	1724	637	1364	851	629
ENSG00000006788	2	4	3	8	6	3	8	15	0	0
ENSG00000006831	4883	2553	2185	1756	2459	3421	2598	2935	5075	1064
ENSG00000006837	139	77	73	69	74	136	87	96	135	96
ENSG00000007001	63	5	27	95	23	50	24	16	28	52
ENSG00000007038	139	246	331	1607	103	757	261	2479	308	977
ENSG00000007047	3529	2116	2387	2725	2764	3946	2338	3809	2789	1357
ENSG00000007062	223	12	130	24	85	15	1441	124	89	4
ENSG00000007080	2891	4063	4482	5247	4612	3301	1961	8265	2969	4062
ENSG00000007129	4	24	14	10	39	19	19	22	11	26
ENSG00000007168	10904	4570	3069	5986	6165	9224	7656	10345	15822	2778
ENSG00000007171	187	17	31	126	135	309	121	604	85	26
ENSG00000007174	144	2	6	63	9	53	3	94	35	11
ENSG00000007202	13637	5204	4689	4679	5389	9241	6115	8795	14530	4096
ENSG00000007216	0	0	5	2	0	1	0	11	0	2
ENSG00000007237	1827	44	410	774	1426	1521	1145	4639	4015	1195
ENSG00000007255	1469	611	1570	1738	980	920	755	2250	821	1979
ENSG00000007264	1009	164	165	2651	85	785	29	1275	29	183
ENSG00000007306	1	0	59	2	0	0	16	7	0	0
ENSG00000007312	35	109	190	809	164	93	1123	244	67	586
ENSG00000007314	46	17	1	1	1838	5	49	42	33	30
ENSG00000007341	560	425	395	492	498	924	595	721	722	365
ENSG00000007350	1	0	0	4	7	2	42	4	52	8
ENSG00000007372	276	124	123	106	531	211	148	188	2643	91
ENSG00000007376	917	1608	1129	1541	1188	1040	755	2314	908	2609
ENSG00000007384	3649	6557	5988	3175	2408	2699	2924	9241	3675	1052
ENSG00000007392	5316	3457	3968	4243	3424	4445	2765	4645	5388	2524
ENSG00000007402	249	219	164	1060	181	718	1156	1590	689	3609
ENSG00000007516	4987	1917	1992	2209	2493	893	42	1599	394	5523
ENSG00000007520	2004	2017	2271	3844	3096	2462	1782	5625	1789	7090
ENSG00000007541	4534	2735	3226	5918	4444	2434	2230	4456	3654	15776
ENSG00000007545	2266	990	1192	1031	1033	2447	2019	2012	2471	436
ENSG00000007866	1899	552	1942	959	1375	1168	1221	3095	1648	189
ENSG00000007908	9	0	4	3	1446	9	74	1672	15	2
ENSG00000007923	1303	597	768	697	946	2736	1303	1955	2439	74
ENSG00000007933	42	40	13	11	114	7	98	13	60	0
ENSG00000007944	674	165	891	121	1706	689	1388	864	1774	274
ENSG00000007952	62	102	69	63	59	50	45	52	18	26
ENSG00000007968	216	534	318	196	367	387	211	737	333	93
ENSG00000008018	7451	7541	7136	8676	7978	6392	4175	15497	7131	14520
ENSG00000008056	70	34	79	269	231	44	20	340	60	162
ENSG00000008083	5644	3183	1915	3103	1646	6074	4705	2519	10548	1673
ENSG00000008086	1211	605	322	454	787	755	184	211	2183	180
ENSG00000008118	58	146	0	365	46	153	355	28	10	176
ENSG00000008128	267	363	338	186	480	519	341	442	587	145
ENSG00000008130	2254	1895	1793	1755	2362	3345	2178	4272	4762	824
ENSG00000008196	1	0	34	0	0	0	0	15	195	2
ENSG00000008197	0	0	0	2	0	0	0	0	1	0
ENSG00000008226	120	87	49	155	28	153	55	147	66	3
ENSG00000008256	6113	3826	1565	3241	3580	5651	5633	2571	5253	897
ENSG00000008277	595	219	217	322	540	98	681	163	388	181
ENSG00000008282	4397	3460	5825	2727	3517	4948	4732	4248	6942	1015
ENSG00000008283	1442	480	3972	570	1106	864	725	3581	1374	1440
ENSG00000008294	11120	2625	2235	1937	4586	4463	6413	8229	11659	1199
ENSG00000008300	157	252	296	176	99	65	292	725	235	67
ENSG00000008311	1064	103	158	226	228	972	1176	661	2054	171
ENSG00000008323	6	20	442	3	6	6	28	172	26	45
ENSG00000008324	442	451	678	987	700	630	471	1438	322	1325
ENSG00000008382	1226	1155	1482	1623	1112	1143	768	2105	974	2183
ENSG00000008394	670	952	378	60	411	318	102	1351	197	126
ENSG00000008405	3122	1323	1451	795	2072	1496	2022	4810	4010	461
ENSG00000008438	1	1	2	4	2	1	0	5	3	14
ENSG00000008441	26879	20629	17796	20604	12306	30360	35560	18464	57491	7040
ENSG00000008513	3315	3482	956	3234	2187	3572	3399	3533	2499	1240
ENSG00000008516	38	46	24	29	87	55	13	150	27	55
ENSG00000008517	328	133	127	1376	11025	1086	393	2914	132	487
ENSG00000008710	13009	15714	6273	12456	10512	10920	11122	8582	26459	15288
ENSG00000008735	1622	498	478	1482	307	1787	812	2039	1804	1966
ENSG00000008838	7583	5612	7232	4349	4510	7651	5250	9456	8122	1930
ENSG00000008853	2401	1596	1367	2029	3092	1530	2220	1853	2074	2540
ENSG00000008869	3628	1347	1138	940	1159	2928	2858	1740	4588	272
ENSG00000008952	8762	2186	2325	3570	4249	7489	8989	8036	9561	7090
ENSG00000008988	86830	98213	88236	129925	57431	90298	49200	184833	44690	129481
ENSG00000009307	24626	16502	18355	17841	40113	39816	30871	34498	40324	16838
ENSG00000009335	4686	1807	1915	1283	2933	3908	2839	3617	6396	501
ENSG00000009413	5248	1513	804	680	881	2794	5164	2069	6294	474
ENSG00000009694	516	767	964	2320	148	86	1614	15	5393	84
ENSG00000009709	4649	92	231	61	4019	22	1540	573	12847	43
ENSG00000009724	55	26	15	21	10	71	41	13	178	6
ENSG00000009765	1	0	4	0	0	0	2	3	2	1
ENSG00000009780	358	566	758	465	636	875	837	912	1321	302
ENSG00000009790	7	10	16	17	65	36	32	24	27	9
ENSG00000009830	2333	823	1092	934	2059	2110	945	1598	2676	817
ENSG00000009844	4329	1650	1885	1549	1882	2868	2753	2885	4617	734
ENSG00000009950	67	92	834	12	167	13	81	102	22	593
ENSG00000009954	10384	3900	4739	2833	4224	7518	6420	6977	9490	1349
ENSG00000010017	2822	2623	1969	1204	2089	2608	2778	3042	14614	438
ENSG00000010030	18	69	67	13	49	34	18	247	28	49
ENSG00000010072	728	370	366	219	322	1136	502	450	818	96
ENSG00000010165	4296	885	1430	3035	1960	12493	2069	5119	3378	1298
ENSG00000010219	502	1111	1278	213	420	117	427	1294	694	704
ENSG00000010244	12629	6451	5982	4944	5896	11165	6253	10274	12912	2035
ENSG00000010256	3676	3962	4926	8980	9356	7210	3377	16148	3675	10940
ENSG00000010270	1721	1025	743	1058	1472	1904	1281	2182	1072	556
ENSG00000010278	1190	5776	36123	2356	6154	9754	1474	22882	4307	2368
ENSG00000010282	24	3	7	8	2826	35	3	55	3	297
ENSG00000010292	7409	3239	4545	2502	3595	6014	4119	5776	5799	560
ENSG00000010295	1288	1175	466	1299	2507	1977	176	2037	2099	990
ENSG00000010310	85	61	80	25	13	39	24	55	14	43
ENSG00000010318	160	123	145	90	86	160	302	142	156	80
ENSG00000010319	379	61	176	136	418	341	591	325	289	432
ENSG00000010322	5737	2452	2948	8505	4849	10295	5925	11108	5396	5402
ENSG00000010327	991	327	462	1892	4477	4594	1680	3529	1024	7950
ENSG00000010361	3398	2313	3422	2928	1875	2476	2437	5196	2463	1338
ENSG00000010379	22	9	1	9	25	10	2	79	5	11
ENSG00000010404	7671	4292	3896	2903	5971	6034	7226	3856	7721	1654
ENSG00000010438	5	28	1	9	6	1	47	80	52	7
ENSG00000010539	944	519	381	350	349	798	572	791	1048	278
ENSG00000010610	198	285	117	574	912	1757	501	854	328	195
ENSG00000010626	794	563	618	702	711	440	560	1011	658	1874
ENSG00000010671	17	15	15	10	95	48	59	36	86	44
ENSG00000010704	3176	533	763	599	770	2643	1973	1229	2110	202
ENSG00000010803	2745	4021	2779	2079	2127	3579	3244	4216	3672	1331
ENSG00000010810	3841	1517	783	1605	3055	2415	1994	2152	1625	1034
ENSG00000010818	3619	1746	1444	1379	1656	3548	4464	4151	5584	1320
ENSG00000010932	14	21	7	40	71	16	1665	56	152	16
ENSG00000011007	2637	2416	2189	1895	2112	4477	3464	4781	4847	1182
ENSG00000011009	1193	2861	3067	3115	2534	3494	1841	4951	3070	3342
ENSG00000011021	1616	1056	624	1299	654	2032	1784	1222	2789	515
ENSG00000011028	24514	15556	15137	26048	19092	26706	21355	26906	31556	13457
ENSG00000011052	25	106	39	65	39	42	17	85	36	8
ENSG00000011083	0	0	0	0	3	0	0	4	0	8
ENSG00000011105	10174	5388	6637	6946	8364	14961	9020	14570	29154	11075
ENSG00000011114	4184	1404	1607	1055	1292	3134	2632	2054	4448	401
ENSG00000011132	1244	1012	987	1199	1023	1533	1077	2124	1242	364
ENSG00000011143	1852	976	1237	1149	846	1219	1104	1252	1666	459
ENSG00000011198	495	157	184	208	352	824	402	507	479	42
ENSG00000011201	7877	1608	3843	689	1674	2613	3415	3192	5318	209
ENSG00000011243	3184	1944	2182	2617	3366	3217	2095	4648	3032	1333
ENSG00000011258	3100	857	714	736	751	2607	2213	923	2848	289
ENSG00000011260	3073	943	1523	1854	1326	2986	1650	4217	2760	1980
ENSG00000011275	6033	2647	2645	2634	2684	5138	2848	4557	5518	1447
ENSG00000011295	4495	1571	1271	1907	1608	3385	1653	3807	3523	1385
ENSG00000011304	21417	12337	13556	10619	11358	18861	13604	22720	17247	7980
ENSG00000011332	489	1154	158	1121	272	97	267	455	412	394
ENSG00000011347	2706	3229	1053	2429	323	4822	831	4999	1220	1168
ENSG00000011376	1490	396	667	1050	1045	1847	1280	1914	922	202
ENSG00000011405	3635	1432	1170	630	1120	2265	2536	1521	5566	297
ENSG00000011422	140	230	141	337	1639	288	202	3753	343	107
ENSG00000011426	1739	1114	1035	278	787	1040	883	1162	930	55
ENSG00000011451	7989	4825	4432	3688	4010	7134	4669	7483	7024	1007
ENSG00000011454	5955	1739	2979	1909	2770	4323	3127	2872	4865	1692
ENSG00000011465	109247	807	4762	209	40856	979	3489	208	2787	133
ENSG00000011478	372	635	1258	490	462	171	576	1121	475	663
ENSG00000011485	5183	4055	3419	3301	3657	4470	2724	5561	4564	1017
ENSG00000011523	4257	694	1126	1294	2111	3347	1954	1915	2883	497
ENSG00000011566	2106	1108	732	521	1026	1632	1840	1027	3072	167
ENSG00000011590	40	9	10	6	8	22	11	31	21	6
ENSG00000011600	105	56	126	327	1414	483	309	1237	280	1076
ENSG00000011638	390	704	1398	355	1365	93	164	587	182	238
ENSG00000011677	18	1	3	451	8	32	893	49	176	164
ENSG00000012048	685	285	428	175	312	517	358	433	489	154
ENSG00000012061	3395	4953	6529	3806	3930	2582	3255	9566	3736	5514
ENSG00000012124	10	1	6	3	92	5	25	32	41	4
ENSG00000012171	758	3208	4668	1186	883	475	499	4569	2505	4163
ENSG00000012174	4196	1201	732	1403	1191	2610	2103	1898	3723	1277
ENSG00000012211	843	431	502	286	449	653	495	1221	1080	121
ENSG00000012223	30	13	5	13	86	29	66	471	28	23
ENSG00000012232	4141	2020	2018	3179	3662	4196	2041	3984	4174	1776
ENSG00000012504	1	1	0	0	2	8	1	6	0	0
ENSG00000012660	5917	2312	1527	1552	2135	2911	2505	6642	5512	526
ENSG00000012779	27	12	11	19	246	101	77	159	100	19
ENSG00000012817	1	3330	0	1801	0	13	0	3020	0	368
ENSG00000012822	9858	3828	4618	4432	9751	9338	15273	8810	11072	1006
ENSG00000012963	4497	2519	1901	2125	2160	3446	3374	2728	4495	1068
ENSG00000012983	4738	3662	1929	1711	1961	3370	4100	2908	7316	472
ENSG00000013016	1439	446	420	530	667	1292	747	655	1089	188
ENSG00000013275	3962	3865	4534	3959	3961	4401	2575	10039	4290	1559
ENSG00000013288	2983	1872	1784	1378	2409	3588	4190	4786	3801	5971
ENSG00000013293	5	2	16	15	1	4	11	37	3	1
ENSG00000013297	93	499	822	70	93	120	621	1612	179	15
ENSG00000013306	7897	8723	8824	7395	6571	9420	5043	14775	7515	5217
ENSG00000013364	4996	7742	10719	7562	12968	5062	8696	27615	11860	8589
ENSG00000013374	3915	1671	2263	2224	3182	4101	3840	4788	4490	4828
ENSG00000013375	2977	944	1326	978	1315	2573	1973	1649	3477	452
ENSG00000013392	698	279	426	368	338	617	421	523	860	354
ENSG00000013441	4221	3280	3682	2042	7030	7314	3489	5034	5564	608
ENSG00000013503	2089	569	569	904	1052	2238	835	1337	1336	338
ENSG00000013523	3000	911	1076	1134	1081	2505	1641	1784	2078	723
ENSG00000013561	3029	1110	1436	1334	1451	2626	1769	2052	3370	888
ENSG00000013563	930	388	934	165	2213	393	519	645	1729	47
ENSG00000013573	2659	1571	702	826	1709	2128	501	1799	1385	732
ENSG00000013583	2710	2409	2625	4226	1849	2264	3790	6346	2671	1424
ENSG00000013588	102	236	2506	40	362	45	308	12685	105	36
ENSG00000013619	889	727	377	597	764	2226	2378	928	1447	244
ENSG00000013725	17	79	39	97	109	25	39	57	21	62
ENSG00000013810	2444	2731	4713	1793	4339	1752	1323	4113	1133	1958
ENSG00000014123	3749	1576	1364	921	947	2967	3013	1206	4693	552
ENSG00000014138	1411	1010	1154	1375	1163	1275	623	1839	1142	1340
ENSG00000014164	1857	1935	1691	1063	1342	2099	1776	1865	2857	716
ENSG00000014216	7010	9618	10359	6086	7752	7319	5904	13963	12105	1841
ENSG00000014257	60	0	14	1	5	2	10	22	18	5
ENSG00000014641	7233	4979	5872	4943	7295	8775	5588	9584	6085	2644
ENSG00000014824	6375	1884	2469	2441	2802	4114	4015	2719	6489	2764
ENSG00000014914	3123	1408	3466	1971	1655	990	5896	5045	9114	923
ENSG00000014919	3677	1827	1453	1719	1863	2876	1939	1409	2629	1484
ENSG00000015133	3705	2594	4516	738	1514	3497	912	1559	4497	2240
ENSG00000015153	830	386	385	419	1024	880	613	1265	755	232
ENSG00000015171	8063	1483	3809	2570	3914	5071	6625	5214	11112	1106
ENSG00000015285	47	31	51	71	185	139	88	177	84	110
ENSG00000015413	795	826	105	269	780	587	80	1304	752	2171
ENSG00000015475	1272	1136	2269	985	992	2309	610	4363	544	894
ENSG00000015479	949	138	100	22	85	650	342	90	821	19
ENSG00000015520	10	15	6	5	10	32	3	2	4	9
ENSG00000015532	2497	2546	2573	4023	2297	4704	3219	4219	3920	4568
ENSG00000015568	0	0	1	0	0	0	0	1	5	0
ENSG00000015592	1	15	6	2	4	1	0	6	1	12
ENSG00000015676	10872	5306	4744	7309	6087	8095	6934	10434	9427	6557
ENSG00000016082	0	11	4	1	1	1	0	0	0	1
ENSG00000016391	85	77	253	26	200	420	186	620	230	62
ENSG00000016402	9	0	123	0	90	5	136	8	3	0
ENSG00000016490	0	0	0	0	0	0	0	0	0	1
ENSG00000016602	0	0	0	0	0	8	0	0	4	3
ENSG00000016864	3090	1390	2361	4807	3027	5273	3800	5295	3742	2570
ENSG00000017260	9415	2070	2494	2873	3153	5700	5973	4815	9819	1025
ENSG00000017427	10	2	25	4	395	22	50	10	10	20
ENSG00000017483	1040	144	4	2341	562	1314	328	4086	61	40
ENSG00000017797	6611	1401	2139	1679	2994	2666	4565	4290	4632	539
ENSG00000018189	1953	674	622	864	1523	875	834	654	1761	501
ENSG00000018236	17	22	71	2	166	0	7351	132	28	224
ENSG00000018280	53	75	66	70	253	55	52	382	98	138
ENSG00000018408	5363	1331	1978	2228	6885	4642	11625	7878	33659	3683
ENSG00000018510	2375	1145	859	750	1630	1794	2098	1823	2879	247
ENSG00000018607	10	2	1	0	2	9	4	1	5	0
ENSG00000018610	2885	717	1051	1112	2026	2668	1534	1785	2340	390
ENSG00000018625	3465	193	22	599	9077	496	38	299	85	4860
ENSG00000018699	1582	865	1038	786	1009	1669	840	2271	1470	843
ENSG00000018869	399	195	195	312	223	362	232	290	499	412
ENSG00000019102	16	13	24	26	35	36	20	72	13	18
ENSG00000019144	4119	2317	3037	1639	6522	5513	2798	6139	5523	158
ENSG00000019169	4	457	2	0	102	2	2	53	3	9
ENSG00000019186	14	31	122	5	4	42	3	121	38	0
