entrez	cytoband	symbol
218	26829	1p36.22	RNU5E-1
219	100873829	1p36.22	RNU5E-4P
220	90231	1p36.22	KIAA2013
221	5351	1p36.22	PLOD1
222	9927	1p36.22	MFN2
223	60672	1p36.22	MIIP
224	102466982	1p36.22	MIR6729
225	106481100	1p36.22	RN7SL649P
226	943	1p36.22	TNFRSF8
227	106481426	1p36.22	RNU6-777P
228	102465836	1p36.22	MIR7846
229	7133	1p36.22	TNFRSF1B
230	100616438	1p36.22	MIR4632
231	26778	Xq28	SNORA70
232	55187	1p36.22-p36.21	VPS13D
233	677885	1p36.21	SNORA59A
234	9249	1p36.21	DHRS3
235	106479551	1p36.21	RNU6ATAC18P
236	102466722	1p36.21	MIR6730
237	343066	1p36.21	AADACL4
238	126767	1p36.21	AADACL3
239	93190	1p36.21	C1orf158
240	390999	1p36.21	PRAMEF12
241	65121	1p36.21	PRAMEF1
242	440560	1p36.21	PRAMEF11
243	440560	1p36.21	PRAMEF11
244	343069	1p36.21	HNRNPCL1
245	65122	1p36.21	PRAMEF2
246	400735	1p36.21	PRAMEF4
247	343071	1p36.21	PRAMEF10
248	441871	1p36.21	PRAMEF7
249	106480037	1p36.21	RNU6-1072P
250	440561	1p36.21	PRAMEF6
251	441873	1p36.21	PRAMEF25
252	645359	1p36.21	PRAMEF26
253	649330	1p36.21	HNRNPCL3
254	440563	1p36.21	HNRNPCL2
255	101060301	1p36.21	HNRNPCL4
256	441873	1p36.21	PRAMEF25
257	391003	1p36.21	PRAMEF18
258	343068	1p36.21	PRAMEF5
259	106479907	1p36.21	RNU6-771P
260	391002	1p36.21	PRAMEF8
261	343070	1p36.21	PRAMEF9
262	729528	1p36.21	PRAMEF14
263	645414	1p36.21	PRAMEF19
264	391004	1p36.21	PRAMEF17
265	645425	1p36.21	PRAMEF20
266	126755	1p36.21	LRRC38
267	10630	1p36.21	PDPN
268	100873280	1p36.21	RNA5SP41
269	677780	12p13.31	SCARNA11
270	7799	1p36.21	PRDM2
271	106481579	1p36.21	RNU6-1265P
272	23254	1p36.21	KAZN
273	494541	1p36.21	TBCAP2
274	200197	1p36.21	TMEM51-AS1
275	55092	1p36.21	TMEM51
276	727684	1p36.21	C1orf195
277	114827	1p36.21	FHAD1
278	79180	1p36.21	EFHD2
279	11330	1p36.21	CTRC
280	63036	1p36.21	CELA2A
281	51032	1p36.21	CELA2B
282	842	1p36.21	CASP9
283	23341	1p36.21	DNAJC16
284	677763	17p13.1	SCARNA21
285	79814	1p36.21	AGMAT
286	645317	1p36.21	CHCHD2P6
287	106479092	1p36.21	RNU7-179P
288	84301	1p36.21	DDI2
289	6248	1p36.21	RSC1A1
290	23207	1p36.21	PLEKHM2
291	284723	1p36.21	SLC25A34
292	388595	1p36.21	TMEM82
293	54751	1p36.21	FBLIM1
294	440567	1p36.21	UQCRHL
295	729614	1p36.21	FLJ37453
296	23013	1p36.21-p36.13	SPEN
297	7709	1p36.13	ZBTB17
298	101928566	1p36.13	TBC1D3P6
299	27129	1p36.13	HSPB7
300	1187	1p36.13	CLCNKA
301	1188	1p36.13	CLCNKB
302	348487	1p36.13	FAM131C
303	1969	1p36.13	EPHA2
304	100874233	1p36.13	ARHGEF19-AS1
305	128272	1p36.13	ARHGEF19
306	645652	1p36.13	MT1XP1
307	54455	1p36.13	FBXO42
308	26099	1p36.13	SZRD1
309	374955	1p36.13	SPATA21
310	55707	1p36.13	NECAP2
311	114819	1p36.13	CROCCP3
312	26871	1p36.13	RNU1-1
313	55672	1p36.13	NBPF1
314	84809	1p36.13	CROCCP2
315	11209	1p36.13	MST1P2
316	26869	1p36.13	RNU1-3
317	280661	1p36.13	EIF1AXP1
318	284729	1p36.13	ESPNP
319	9696	1p36.13	CROCC
320	6060	1p36.13	RNU1-4
321	100421113	1p36.13	CROCCP4
322	11223	1p36.13	MST1L
323	100500876	1p36.13	MIR3675
324	26870	1p36.13	RNU1-2
325	4237	1p36.13	MFAP2
326	23400	1p36.13	ATP13A2
327	6390	1p36.13	SDHB
328	11240	1p36.13	PADI2
329	29943	1p36.13	PADI1
330	51702	1p36.13	PADI3
331	100616188	1p36.13	MIR3972
332	23569	1p36.13	PADI4
333	353238	1p36.13	PADI6
334	55920	1p36.13	RCC2
335	55160	1p36.13	ARHGEF10L
336	81569	1p36.13	ACTL8
337	84966	1p36.13	IGSF21
338	127707	1p36.13	KLHDC7A
339	391012	1p36.13	DYNLL1P3
340	5081	1p36.13	PAX7
341	80834	1p36.13	TAS1R2
342	8659	1p36.13	ALDH4A1
343	100616120	1p36.13	MIR4695
344	100302276	1p36.13	MIR1290
345	126917	1p36.13	IFFO2
346	23352	1p36.13	UBR4
347	23065	1p36.13	EMC1
348	51154	1p36.13	MRTO4
349	246181	c(	AKR7L
352	22977	1p36.13	AKR7A3
353	8574	1p36.13	AKR7A2
354	106481526	1p36.13	RNU6-1099P
355	832	1p36.13	CAPZB
356	106479323	1p36.13	RN7SL277P
357	106479570	1p36.13	RNU4-28P
358	4681	1p36.13	NBL1
359	3362	1p36.13	HTR6
360	255104	1p36.13	TMCO4
361	54546	1p36.13	RNF186
362	23252	1p36.13	OTUD3
363	30814	1p36.13	PLA2G2E
364	106479333	1p36.13	RN7SL304P
365	5320	1p36.13	PLA2G2A
366	5322	1p36.13	PLA2G5
367	26279	1p36.12	PLA2G2D
368	64600	1p36.12	PLA2G2F
369	391013	1p36.12	PLA2G2C
370	127733	1p36.12	UBXN10
371	127731	1p36.12	VWA5B1
372	339505	1p36.12	LINC01141
373	55450	1p36.12	CAMK2N1
374	79594	1p36.12	MUL1
375	441878	1p36.12	RPS4XP4
376	163933	1p36.12	FAM43B
377	978	1p36.12	CDA
378	65018	1p36.12	PINK1
379	102464833	1p36.12	MIR6084
380	100861548	1p36.12	PINK1-AS
381	1650	1p36.12	DDOST
382	57576	1p36.12	KIF17
383	400745	1p36.12	SH2D5
384	50809	1p36.12	HP1BP3
385	8672	1p36.12	EIF4G3
386	106480835	1p36.12	RNU7-200P
387	100302155	1p36.12	MIR1256
388	100271141	1p36.12	RPS15AP6
389	106480261	1p36.12	HSPE1P27
390	1889	1p36.12	ECE1
391	94297	1p36.12	PPP1R11P1
392	343381	1p36.12	NBPF2P
393	388605	1p36.12	HS6ST1P1
394	100421114	1p36.12	CROCCP5
395	84224	1p36.12	NBPF3
396	767853	1p36.12	PFN1P10
397	249	1p36.12	ALPL
398	5909	1p36.12	RAP1GAP
399	84196	1p36.12	USP48
400	401944	1p36.12	LDLRAD2
401	3339	1p36.12	HSPG2
402	23436	1p36.12	CELA3B
403	106480016	1p36.12	RNU6-1022P
404	10136	1p36.12	CELA3A
405	106480608	1p36.12	RNU6-776P
406	29092	1p36.12	LINC00339
407	998	1p36.12	CDC42
408	100874292	1p36.12	CDC42-IT1
409	54361	1p36.12	WNT4
410	100616433	1p36.12	MIR4418
411	9923	1p36.12	ZBTB40
412	100874345	1p36.12	ZBTB40-IT1
413	2046	1p36.12	EPHA8
414	712	1p36.12	C1QA
415	714	1p36.12	C1QC
416	713	1p36.12	C1QB
417	2048	1p36.12	EPHB2
418	100616391	1p36.12	MIR4684
419	100422914	1p36.12	MIR4253
420	646262	1p36.12	LACTBL1
421	23028	1p36.12	KDM1A
422	100422866	1p36.12	MIR3115
423	7798	1p36.12	LUZP1
424	106480586	1p36.12	RNU6-514P
425	106479625	1p36.12	RNU6-135P
426	3352	1p36.12	HTR1D
427	100996511	1p36.12	LINC01355
428	10236	1p36.12	HNRNPR
429	80818	1p36.12	ZNF436
430	148898	1p36.12	ZNF436-AS1
431	6920	1p36.12	TCEA3
432	55616	1p36.12	ASAP3
433	1870	1p36.12	E2F2
434	3399	1p36.12	ID3
435	259283	1p36.11	MDS2
436	6135	1p36.11	RPL11
437	57095	1p36.11	PITHD1
438	11313	1p36.11	LYPLA2
439	2582	1p36.11	GALE
440	3155	1p36.11	HMGCL
441	2517	1p36.11	FUCA1
442	1269	1p36.11	CNR2
443	100616492	1p36.11	MIR378F
444	55629	1p36.11	PNRC2
445	10772	1p36.11	SRSF10
446	127294	1p36.11	MYOM3
447	58985	1p36.11	IL22RA1
448	163702	1p36.11	IFNLR1
449	57822	1p36.11	GRHL3
450	90529	1p36.11	STPG1
451	57185	1p36.11	NIPAL3
452	11123	1p36.11	RCAN3
453	400746	1p36.11	NCMAP
454	10250	1p36.11	SRRM1
455	25932	1p36.11	CLIC4
456	106480094	1p36.11	RNU6-1208P
457	864	1p36.11	RUNX3
458	102465437	1p36.11	MIR6731
459	100616365	1p36.11	MIR4425
460	25949	1p36.11	SYF2
461	57035	1p36.11	RSRP1
462	6007	1p36.11	RHD
463	29768	1p36.11	SDHDP6
464	23585	1p36.11	TMEM50A
465	6006	1p36.11	RHCE
466	26119	1p36.11	LDLRAP1
467	57134	1p36.11	MAN1C1
468	56181	1p36.11	MTFR1L
469	79000	1p36.11	AUNIP
470	164091	1p36.11	PAQR7
471	3925	1p36.11	STMN1
472	100874411	1p36.11	SNRPFP2
473	100500808	1p36.11	MIR3917
474	5051	1p36.11	PAFAH2
475	106479615	1p36.11	RNU6-110P
476	677769	18q21.1	SCARNA17
477	677765	5q14.2	SCARNA18
478	2134	1p36.11	EXTL1
479	7780	1p36.11	SLC30A2
480	84676	1p36.11	TRIM63
481	149420	1p36.11	PDIK1L
482	79927	1p36.11	FAM110D
483	51042	1p36.11	ZNF593
484	10256	1p36.11	CNKSR1
485	378807	1p36.11	CATSPER4
486	64793	1p36.11	CEP85
487	83442	1p36.11	SH3BGRL3
488	91544	1p36.11	UBXN11
489	1043	1p36.11	CD52
490	257101	1p36.11	ZNF683
491	79727	1p36.11	LIN28A
492	79947	1p36.11	DHDDS
493	3151	1p36.11	HMGN2
494	100128503	1p36.11	DPPA2P2
495	6195	1p36.11	RPS6KA1
496	100302190	1p36.11	MIR1976
497	106481855	1p36.11	RN7SL679P
498	100147816	1p35.3	RNU7-29P
499	8289	1p36.11	ARID1A
500	55650	1p36.11	PIGV
501	106479281	1p36.11	RN7SL165P
502	84243	1p36.11	ZDHHC18
503	2810	1p36.11	SFN
504	54707	1p36.11	GPN2
505	63906	1p36.11	GPATCH3
506	10726	1p36.11	NUDC
507	8431	1p36.11	NR0B2
508	126695	1p36.11	KDF1
509	646567	1p36.11	OSTCP2
510	388610	1p36.11	TRNP1
511	6548	1p36.11	SLC9A1
512	646572	1p36.11	CHCHD3P3
513	440577	1p36.11	NPM1P39
514	100874415	1p36.11	SNRPEP7
515	23038	1p36.11	WDTC1
516	84065	1p36.11	TMEM222
517	100887744	1p36.11	RNU6-48P
518	84958	1p36.11	SYTL1
519	9064	1p36.11	MAP3K6
520	8547	1p36.11	FCN3
521	388611	1p36.11	CD164L2
522	2827	1p36.11	GPR3
523	10163	1p36.11	WASF2
524	27245	1p36.11-p35.3	AHDC1
525	2268	1p35.3	FGR
526	2537	1p35.3	IFI6
527	106481925	1p35.3	RNU6-949P
528	646597	1p35.3	CHMP1AP1
529	106479753	1p35.3	RNU6-424P
530	199870	1p35.3	FAM76A
531	100420555	1p35.3	RPEP3
532	23673	1p35.3	STX12
533	106480109	1p35.3	RNU6-1245P
534	5511	1p35.3	PPP1R8
535	677774	1p35.3	SCARNA1
536	9473	1p35.3	THEMIS2
537	6118	1p35.3	RPA2
538	27293	1p35.3	SMPDL3B
539	55113	1p35.3	XKR8
540	2140	1p35.3	EYA3
541	106481849	1p35.3	RN7SL559P
542	653566	1p35.3	SPCS2P4
543	106479644	1p35.3	RNU6-176P
544	5724	1p35.3	PTAFR
545	22826	1p35.3	DNAJC8
546	83667	1p35.3	SESN2
547	54797	1p35.3	MED18
548	65979	1p35.3	PHACTR4
549	106481167	1p35.3	RNU6ATAC27P
550	1104	1p35.3	RCC1
551	8420	1p35.3	SNHG3
552	6080	1p35.3	SNORA73A
553	26768	1p35.3	SNORA73B
554	100128092	1p35.3	PRDX3P2
555	54952	1p35.3	TRNAU1AP
556	85028	1p35.3	SNHG12
557	692212	1p35.3	SNORD99
558	677838	1p35.3	SNORA61
559	677825	1p35.3	SNORA44
560	692073	1p35.3	SNORA16A
561	692073	1p35.3	SNORA16A
562	6883	1p35.3	TAF12
563	115273	1p35.3	RAB42
564	26824	1p35.3	RNU11
565	26824	1p35.3	RNU11
566	10691	1p35.3	GMEB1
567	51441	1p35.3	YTHDF2
568	4985	1p35.3	OPRD1
569	2035	1p35.3	EPB41
570	399474	1p35.3	TMEM200B
571	6429	1p35.3	SRSF4
572	51102	1p35.3	MECR
573	10076	1p35.3	PTPRU
574	4146	1p35.2	MATN1
575	100129196	1p35.2	MATN1-AS1
576	7805	1p35.2	LAPTM5
577	100616164	1p35.2	MIR4420
578	106480861	1p35.2	RN7SKP91
579	9672	1p35.2	SDC3
580	106481839	7q11.22	RN7SL371P
581	9698	1p35.2	PUM1
582	79570	1p35.2	NKAIN1
583	9410	1p35.2	SNRNP40
584	51538	1p35.2	ZCCHC17
585	2170	1p35.2	FABP3
586	347735	1p35.2	SERINC2
587	106480703	1p35.2	RNU6-40P
588	284551	1p35.2	LINC01226
589	64129	1p35.2	TINAGL1
590	3061	1p35.2	HCRTR1
591	553115	1p35.2	PEF1
592	1307	1p35.2	COL16A1
593	100423028	1p35.2	MIR4254
594	90853	1p35.2	SPOCD1
595	8073	1p35.2	PTP4A2
596	10657	1p35.2	KHDRBS1
597	55116	1p35.2	TMEM39B
598	100847018	1p35.2	MIR5585
599	23633	1p35.2	KPNA6
600	200081	1p35.2	TXLNA
601	79140	1p35.2	CCDC28B
602	55721	1p35.2	IQCC
603	149069	1p35.2	DCDC2B
604	56063	1p35.2	TMEM234
605	8668	1p35.2	EIF3I
606	339483	1p35.2	MTMR9LP
607	84734	1p35.2	FAM167B
608	3932	1p35.2	LCK
609	3065	1p35.2-p35.1	HDAC1
610	65108	1p35.1	MARCKSL1
611	81629	1p35.1	TSSK3
612	100128071	1p35.1	FAM229A
613	55108	1p35.1	BSDC1
614	343338	1p35.1	GAPDHP20
615	101929254	1p35.1	LRRC37A12P
616	106480954	1p35.1	RN7SL122P
617	728116	1p35.1	ZBTB8B
618	653121	1p35.1	ZBTB8A
619	339487	1p35.1	ZBTB8OS
620	5928	1p35.1	RBBP4
621	81493	1p35.1	SYNC
622	57648	1p35.1	KIAA1522
623	64766	1p35.1	S100PBP
624	252995	1p35.1	FNDC5
625	3208	1p35.1	HPCA
626	113452	1p35.1	TMEM54
627	127544	1p35.1	RNF19B
628	204	1p35.1	AK2
629	113451	1p35.1	AZIN2
630	55223	1p35.1	TRIM62
631	149076	1p35.1	ZNF362
632	127550	1p35.1	A3GALT2
633	1912	1p35.1	PHC2
634	106480837	1p35.1	RN7SKP16
635	100131451	1p35.1	TLR12P
636	7579	1p35.1	ZSCAN20
637	114784	1p35.1	CSMD2
638	100287140	1p35.1	HSPD1P14
639	127540	1p35.1	HMGB4
640	402779	1p35.1	CSMD2-AS1
641	100873281	1p35.1	RNA5SP42
642	84970	1p35.1	C1orf94
643	693137	1p34.3	MIR552
644	113444	1p34.3	SMIM12
645	2709	1p34.3	GJB5
646	127534	1p34.3	GJB4
647	2707	1p34.3	GJB3
648	2701	1p34.3	GJA4
649	58512	1p34.3	DLGAP3
650	9204	1p34.3	ZMYM6
651	79830	1p34.3	ZMYM1
652	106479047	1p34.3	EFCAB14P1
653	6421	1p34.3	SFPQ
654	9202	1p34.3	ZMYM4
655	106481060	1p34.3	RN7SL503P
656	6044	3p22.1	SNORA62
657	643343	1p34.3	RPL5P4
658	100861513	1p34.3	ZMYM4-AS1
659	79932	1p34.3	KIAA0319L
660	23154	1p34.3	NCDN
661	339488	1p34.3	TFAP2E
662	5690	1p34.3	PSMB2
663	127703	1p34.3	C1orf216
664	63967	1p34.3	CLSPN
665	192670	1p34.3	AGO4
666	26523	1p34.3	AGO1
667	192669	1p34.3	AGO3
668	27285	1p34.3	TEKT2
669	1296	1p34.3	COL8A2
670	27095	1p34.3	TRAPPC3
671	55700	1p34.3	MAP7D1
672	106480957	1p34.3	RN7SL131P
673	9967	1p34.3	THRAP3
674	106480802	1p34.3	UBE2V2P4
675	79729	1p34.3	SH3D21
676	55194	1p34.3	EVA1B
677	83931	1p34.3	STK40
678	84967	1p34.3	LSM10
679	106481180	1p34.3	RNU4-27P
680	127700	1p34.3	OSCP1
681	6043	3q27.3	SNORA63
682	64960	1p34.3	MRPS15
683	1441	1p34.3	CSF3R
684	100462786	1p34.3	FTLP18
685	2899	1p34.3	GRIK3
686	100422898	1p34.3	MIR4255
687	106480597	1p34.3	RNU6-636P
688	100873282	1p34.3	RNA5SP43
689	100270903	1p34.3	RPS29P6
690	728431	1p34.3	LINC01137
691	80149	1p34.3	ZC3H12A
692	102465438	1p34.3	MIR6732
693	64769	1p34.3	MEAF6
694	100847010	1p34.3	MIR5581
695	79753	1p34.3	SNIP1
696	2496	1p34.3	FTH1P1
697	7802	1p34.3	DNALI1
698	29889	1p34.3	GNL2
699	284654	1p34.3	RSPO1
700	54955	1p34.3	C1orf109
701	55143	1p34.3	CDCA8
702	284656	1p34.3	EPHA10
703	391026	1p34.3	ACTN4P2
704	149175	1p34.3	MANEAL
705	79693	1p34.3	YRDC
706	127687	1p34.3	C1orf122
707	4520	1p34.3	MTF1
708	3633	1p34.3	INPP5B
709	6043	3q27.3	SNORA63
710	106479825	1p34.3	RNU6-584P
711	10946	1p34.3	SF3A3
712	106481342	1p34.3	RNU6-510P
713	2275	1p34.3	FHL3
714	5453	1p34.3	POU3F1
715	100500801	1p34.3	MIR3659
716	339442	1p34.3	LINC01343
717	106479899	1p34.3	RNU6-753P
718	64121	1p34.3	RRAGC
719	26292	1p34.3	MYCBP
720	81025	1p34.3	GJA9
721	54933	1p34.3	RHBDL2
722	106481372	1p34.3	RNU6-605P
723	100288425	1p34.3	EIF1P2
724	79647	1p34.3	AKIRIN1
725	4725	1p34.3	NDUFS5
726	23499	1p34.3	MACF1
727	106481373	1p34.3	RNU6-608P
728	100873283	1p34.3	RNA5SP44
729	100292290	1p34.3	HSPE1P8
730	353500	1p34.3	BMP8A
731	192217	1p34.3	OXCT2P1
732	728448	1p34.3	PPIEL
733	8761	1p34.3	PABPC4
734	677834	1p34.3	SNORA55
735	26508	1p34.2	HEYL
736	84618	1p34.2	NT5C1A
737	51440	1p34.2	HPCAL4
738	10450	1p34.2	PPIE
739	106480449	1p34.2	RNU7-121P
740	656	1p34.2	BMP8B
741	64064	1p34.2	OXCT2
742	54802	1p34.2	TRIT1
743	4610	1p34.2	MYCL
744	84879	1p34.2	MFSD2A
745	10487	1p34.2	CAP1
746	5538	1p34.2	PPT1
747	6018	1p34.2	RLF
748	106480651	1p34.2	RNU6-1237P
749	127391	1p34.2	TMCO2
750	10269	1p34.2	ZMPSTE24
751	1298	1p34.2	COL9A2
752	64744	1p34.2	SMAP2
753	65243	1p34.2	ZFP69B
754	339559	1p34.2	ZFP69
755	64789	1p34.2	EXO5
756	127396	1p34.2	ZNF684
757	728633	1p34.2	GTF2F2P2
758	9783	1p34.2	RIMS3
759	100130557	1p34.2	NFYC-AS1
760	4802	1p34.2	NFYC
761	407034	1p34.2	MIR30E
762	407031	1p34.2	MIR30C1
763	9132	1p34.2	KCNQ4
764	106479342	1p34.2	RN7SL326P
765	163732	c(	CITED4
768	102724706	1p34.2	UBE2V1P8
769	1503	1p34.2	CTPS1
770	100507178	1p34.2	SLFNL1-AS1
771	200172	1p34.2	SLFNL1
772	22955	1p34.2	SCMH1
773	100132074	1p34.2	FOXO6
774	100873284	1p34.2	RNA5SP45
775	1907	1p34.2	EDN2
776	59269	1p34.2	HIVEP3
777	644449	1p34.2	HNRNPFP1
778	2981	1p34.2	GUCA2B
779	2980	1p34.2	GUCA2A
780	22887	1p34.2	FOXJ3
781	284716	1p34.2	RIMKLA
782	84217	1p34.2	ZMYND12
783	79717	1p34.2	PPCS
784	728621	1p34.2	CCDC30
785	7115	1p34.2	TMSB4XP1
786	106481350	1p34.2	RNU6-536P
787	10465	1p34.2	PPIH
788	4904	1p34.2	YBX1
789	149461	1p34.2	CLDN19
790	64175	1p34.2	P3H1
791	79078	1p34.2	C1orf50
